region,date,sensed_demand_units,production_plan_units,event_note
New England,2026-08-04,2959,2900,
New England,2026-08-05,2818,2958,
New England,2026-08-06,2786,2842,
New England,2026-08-07,2854,2929,
New England,2026-08-08,2960,2871,
New England,2026-08-09,3060,2987,
New England,2026-08-10,3192,3045,
New England,2026-08-11,2783,2900,
New England,2026-08-12,2832,2842,
New England,2026-08-13,2682,2813,
New England,2026-08-14,2853,2929,
New England,2026-08-15,2975,2958,
New England,2026-08-16,2736,2871,
New England,2026-08-17,2818,2900,
Mid Atlantic,2026-08-04,7559,7400,
Mid Atlantic,2026-08-05,7623,7548,
Mid Atlantic,2026-08-06,7065,7252,
Mid Atlantic,2026-08-07,7585,7474,
Mid Atlantic,2026-08-08,7612,7326,
Mid Atlantic,2026-08-09,7246,7622,
Mid Atlantic,2026-08-10,8070,7770,
Mid Atlantic,2026-08-11,7598,7400,
Mid Atlantic,2026-08-12,7161,7252,
Mid Atlantic,2026-08-13,6942,7178,
Mid Atlantic,2026-08-14,7887,7474,
Mid Atlantic,2026-08-15,7450,7548,
Mid Atlantic,2026-08-16,7034,7326,
Mid Atlantic,2026-08-17,7109,7400,
North Central,2026-08-04,5842,5600,
North Central,2026-08-05,5806,5712,
North Central,2026-08-06,5701,5488,
North Central,2026-08-07,5827,5656,
North Central,2026-08-08,5594,5544,
North Central,2026-08-09,6097,5768,
North Central,2026-08-10,5831,5880,
North Central,2026-08-11,5660,5600,
North Central,2026-08-12,5714,5488,
North Central,2026-08-13,5530,5432,
North Central,2026-08-14,5909,5656,
North Central,2026-08-15,5789,5712,
North Central,2026-08-16,5696,5544,
North Central,2026-08-17,5348,5600,
South,2026-08-04,9600,9600,
South,2026-08-05,9890,9792,
South,2026-08-06,9596,9408,
South,2026-08-07,9793,9696,
South,2026-08-08,10930,9504,Heatwave detected
South,2026-08-09,12657,9888,
South,2026-08-10,13205,10080,
South,2026-08-11,11712,9600,
South,2026-08-12,10537,9408,
South,2026-08-13,9778,9312,
South,2026-08-14,9890,9696,
South,2026-08-15,9890,9792,
South,2026-08-16,9504,9504,
South,2026-08-17,9600,9600,
West,2026-08-04,5070,5200,
West,2026-08-05,5208,5304,
West,2026-08-06,4886,5096,
West,2026-08-07,5124,5252,
West,2026-08-08,4948,5148,
West,2026-08-09,5252,5356,
West,2026-08-10,5569,5460,
West,2026-08-11,5149,5200,
West,2026-08-12,5049,5096,
West,2026-08-13,4908,5044,
West,2026-08-14,5144,5252,
West,2026-08-15,5585,5304,
West,2026-08-16,5258,5148,
West,2026-08-17,5288,5200,
Puerto Rico,2026-08-04,949,980,
Puerto Rico,2026-08-05,1030,1000,
Puerto Rico,2026-08-06,929,960,
Puerto Rico,2026-08-07,982,990,
Puerto Rico,2026-08-08,1027,970,
Puerto Rico,2026-08-09,1030,1009,
Puerto Rico,2026-08-10,1041,1029,
Puerto Rico,2026-08-11,1005,980,
Puerto Rico,2026-08-12,1001,960,
Puerto Rico,2026-08-13,985,951,
Puerto Rico,2026-08-14,965,990,
Puerto Rico,2026-08-15,954,1000,
Puerto Rico,2026-08-16,955,970,
Puerto Rico,2026-08-17,960,980,
