region,age_bracket,population,confidence,basis
North America,0-14,65389140,real,"World Bank SP.POP.0014.TO, 2023, country aggregate NAC (North America)."
North America,15-64,245010886,real,"World Bank SP.POP.1564.TO, 2023, country aggregate NAC (North America)."
North America,65+,66468813,real,"World Bank SP.POP.65UP.TO, 2023, country aggregate NAC (North America)."
Europe,0-14,162775262,real,"World Bank SP.POP.0014.TO, 2023, country aggregate ECS (Europe & Central Asia) — the closest single World Bank aggregate to 'Europe'; includes Central Asia, so slightly overstates Europe alone."
Europe,15-64,597902498,real,"World Bank SP.POP.1564.TO, 2023, country aggregate ECS (Europe & Central Asia)."
Europe,65+,164127311,real,"World Bank SP.POP.65UP.TO, 2023, country aggregate ECS (Europe & Central Asia)."
Asia-Pacific,0-14,864559654,real,"World Bank SP.POP.0014.TO, 2023, sum of country aggregates EAS (East Asia & Pacific) + SAS (South Asia), matching the Asia-Pacific definition used in the Global Market Distribution panel."
Asia-Pacific,15-64,2750059270,real,"World Bank SP.POP.1564.TO, 2023, sum of EAS + SAS."
Asia-Pacific,65+,432403139,real,"World Bank SP.POP.65UP.TO, 2023, sum of EAS + SAS."
Latin America,0-14,150437427,real,"World Bank SP.POP.0014.TO, 2023, country aggregate LCN (Latin America & Caribbean)."
Latin America,15-64,444516718,real,"World Bank SP.POP.1564.TO, 2023, country aggregate LCN (Latin America & Caribbean)."
Latin America,65+,62662373,real,"World Bank SP.POP.65UP.TO, 2023, country aggregate LCN (Latin America & Caribbean)."
Middle East & Africa,0-14,776133474,real,"World Bank SP.POP.0014.TO, 2023, sum of country aggregates MEA (Middle East, North Africa, Afghanistan & Pakistan) + SSF (Sub-Saharan Africa)."
Middle East & Africa,15-64,1201341840,real,"World Bank SP.POP.1564.TO, 2023, sum of MEA + SSF."
Middle East & Africa,65+,79135621,real,"World Bank SP.POP.65UP.TO, 2023, sum of MEA + SSF."
