DATE,VALUE
1991-01-01,168.2
1991-02-01,183.3
1991-03-01,187.1
1991-04-01,219.8
1991-05-01,177.8
1991-06-01,199.9
1991-07-01,218.9
1991-08-01,199.4
1991-09-01,169.4
1991-10-01,128.2
1991-11-01,112.6
1991-12-01,64.1
1992-01-01,165.4
1992-02-01,203.3
1992-03-01,225.2
1992-04-01,237.4
1992-05-01,203.5
1992-06-01,214.0
1992-07-01,289.6
1992-08-01,169.1
1992-09-01,146.6
1992-10-01,103.1
1992-11-01,98.5
1992-12-01,72.7
1993-01-01,184.8
1993-02-01,182.1
1993-03-01,210.7
1993-04-01,212.4
1993-05-01,215.8
1993-06-01,261.3
1993-07-01,221.3
1993-08-01,131.9
1993-09-01,114.1
1993-10-01,96.4
1993-11-01,82.9
1993-12-01,49.8
1994-01-01,149.9
1994-02-01,165.4
1994-03-01,204.4
1994-04-01,220.7
1994-05-01,191.5
1994-06-01,214.0
1994-07-01,225.2
1994-08-01,204.0
1994-09-01,132.5
1994-10-01,104.4
1994-11-01,88.8
1994-12-01,44.6
1995-01-01,174.6
1995-02-01,195.6
1995-03-01,222.7
1995-04-01,210.1
1995-05-01,226.3
1995-06-01,215.2
1995-07-01,209.0
1995-08-01,168.1
1995-09-01,125.5
1995-10-01,103.5
1995-11-01,111.7
1995-12-01,46.2
1996-01-01,139.0
1996-02-01,159.0
1996-03-01,179.3
1996-04-01,202.3
1996-05-01,196.6
1996-06-01,211.4
1996-07-01,229.7
1996-08-01,141.4
1996-09-01,113.8
1996-10-01,75.7
1996-11-01,106.2
1996-12-01,51.7
1997-01-01,126.6
1997-02-01,124.9
1997-03-01,135.1
1997-04-01,161.5
1997-05-01,147.6
1997-06-01,151.7
1997-07-01,158.6
1997-08-01,108.2
1997-09-01,100.8
1997-10-01,67.5
1997-11-01,97.1
1997-12-01,46.0
1998-01-01,115.3
1998-02-01,139.9
1998-03-01,144.8
1998-04-01,155.6
1998-05-01,151.9
1998-06-01,173.3
1998-07-01,158.6
1998-08-01,110.2
1998-09-01,87.9
1998-10-01,99.5
1998-11-01,96.8
1998-12-01,27.9
1999-01-01,153.8
1999-02-01,130.5
1999-03-01,154.1
1999-04-01,174.0
1999-05-01,134.9
1999-06-01,171.2
