key,stars
bj,5
bj,5
bj,5
bj,5
bj,4
bj,4
bj,5
bj,4
bj,5
bj,2
bj,5
bj,4
bj,5
bj,4
bj,5
bj,3
bj,3
bj,5
bj,4
bj,5
hd,4
hd,5
hd,5
hd,5
hd,4
hd,5
hd,5
hd,5
hd,4
hd,5
hd,3
hd,5
hd,5
hd,5
hd,5
hd,4
hd,3
hd,5
hd,5
hd,4
talenti,5
talenti,3
talenti,4
talenti,4
talenti,4
talenti,2
talenti,5
talenti,4
talenti,5
talenti,5
talenti,5
talenti,4
talenti,5
talenti,5
talenti,3
talenti,4
talenti,4
talenti,3
talenti,5
talenti,4
breyers,5
breyers,1
breyers,4
breyers,3
breyers,5
breyers,3
breyers,4
breyers,4
breyers,3
breyers,2
breyers,5
breyers,5
breyers,3
breyers,4
breyers,3
breyers,4
breyers,4
breyers,5
breyers,4
breyers,4
storebrand,3
storebrand,3
storebrand,2
storebrand,5
storebrand,4
storebrand,4
storebrand,4
storebrand,5
storebrand,3
storebrand,1
storebrand,4
storebrand,1
storebrand,3
storebrand,3
storebrand,2
storebrand,3
storebrand,3
storebrand,4
storebrand,4
storebrand,2
magnum,5
magnum,5
magnum,4
magnum,5
magnum,5
magnum,4
magnum,5
magnum,5
magnum,5
magnum,4
magnum,5
magnum,4
magnum,5
magnum,5
magnum,4
magnum,5
magnum,5
magnum,4
magnum,5
magnum,5
klondike,4
klondike,4
klondike,3
klondike,4
klondike,5
klondike,4
klondike,3
klondike,4
klondike,4
klondike,5
klondike,4
klondike,3
klondike,4
klondike,4
klondike,5
klondike,3
klondike,4
klondike,4
klondike,4
klondike,3
bluebell,5
bluebell,5
bluebell,5
bluebell,4
bluebell,5
bluebell,5
bluebell,4
bluebell,5
bluebell,5
bluebell,5
bluebell,4
bluebell,5
bluebell,5
bluebell,4
bluebell,5
bluebell,5
bluebell,5
bluebell,4
bluebell,5
bluebell,5
vanleeuwen,3
vanleeuwen,4
vanleeuwen,3
vanleeuwen,2
vanleeuwen,4
vanleeuwen,3
vanleeuwen,3
vanleeuwen,4
vanleeuwen,3
vanleeuwen,5
vanleeuwen,2
vanleeuwen,3
vanleeuwen,4
vanleeuwen,3
vanleeuwen,3
vanleeuwen,4
vanleeuwen,2
vanleeuwen,3
vanleeuwen,4
vanleeuwen,3
