region,quarter,value
New England,2025-Q1,895
New England,2025-Q2,1108
New England,2025-Q3,1343
New England,2025-Q4,1010
Mid Atlantic,2025-Q1,2602
Mid Atlantic,2025-Q2,3438
Mid Atlantic,2025-Q3,3924
Mid Atlantic,2025-Q4,2902
North Central,2025-Q1,3375
North Central,2025-Q2,4073
North Central,2025-Q3,4981
North Central,2025-Q4,3646
South,2025-Q1,4018
South,2025-Q2,5262
South,2025-Q3,5913
South,2025-Q4,4368
West,2025-Q1,2378
West,2025-Q2,2857
West,2025-Q3,3426
West,2025-Q4,2580
Puerto Rico,2025-Q1,236
Puerto Rico,2025-Q2,306
Puerto Rico,2025-Q3,350
Puerto Rico,2025-Q4,244
