region,quarter,value
New England,2024-Q3,25.6
New England,2024-Q4,26.71
New England,2025-Q1,27.76
New England,2025-Q2,28.58
New England,2025-Q3,29.87
New England,2025-Q4,30.05
New England,2026-Q1,29.18
New England,2026-Q2,28.95
Mid Atlantic,2024-Q3,24.3
Mid Atlantic,2024-Q4,24.53
Mid Atlantic,2025-Q1,24.24
Mid Atlantic,2025-Q2,24.28
Mid Atlantic,2025-Q3,25.13
Mid Atlantic,2025-Q4,25.67
Mid Atlantic,2026-Q1,25.96
Mid Atlantic,2026-Q2,25.1
North Central,2024-Q3,20.75
North Central,2024-Q4,21.2
North Central,2025-Q1,21.07
North Central,2025-Q2,21.04
North Central,2025-Q3,20.97
North Central,2025-Q4,21.22
North Central,2026-Q1,21.32
North Central,2026-Q2,20.77
South,2024-Q3,21.8
South,2024-Q4,22.1
South,2025-Q1,21.95
South,2025-Q2,22.4
South,2025-Q3,22.65
South,2025-Q4,23.05
South,2026-Q1,23.4
South,2026-Q2,26.55
West,2024-Q3,24.9
West,2024-Q4,25.04
West,2025-Q1,25.67
West,2025-Q2,26.0
West,2025-Q3,26.11
West,2025-Q4,27.11
West,2026-Q1,26.72
West,2026-Q2,26.68
Puerto Rico,2024-Q3,28.75
Puerto Rico,2024-Q4,29.87
Puerto Rico,2025-Q1,29.97
Puerto Rico,2025-Q2,30.16
Puerto Rico,2025-Q3,29.17
Puerto Rico,2025-Q4,28.67
Puerto Rico,2026-Q1,27.96
Puerto Rico,2026-Q2,27.09
