date,volume_units,dollar_sales_usd,confidence
2024-07,1170000,3744000.0,placeholder
2024-08,1175850,3757075.92,placeholder
2024-09,909022,2900150.33,placeholder
2024-10,913568,2910281.94,placeholder
2024-11,918135,2920443.43,placeholder
2024-12,738181,2344515.93,placeholder
2025-01,741872,2352704.45,placeholder
2025-02,745581,2360920.13,placeholder
2025-03,936636,2961456.64,placeholder
2025-04,941320,2971802.11,placeholder
2025-05,946026,2982179.24,placeholder
2025-06,1235983,3890372.95,placeholder
2025-07,1242163,3903960.35,placeholder
2025-08,1248374,3917595.51,placeholder
2025-09,965089,3024059.37,placeholder
2025-10,969914,3034619.5,placeholder
2025-11,974764,3045219.25,placeholder
2025-12,783710,2444682.95,placeholder
2026-01,787629,2453222.4,placeholder
2026-02,791567,2461789.83,placeholder
2026-03,994406,3087984.41,placeholder
2026-04,999378,3098769.1,placeholder
2026-05,1004375,3109591.89,placeholder
2026-06,1312216,4056587.97,placeholder
